Tick,Time,Agent,Intent,Stress,Trust,TaskProgress,Suspect,IsFallback
58,15:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
58,15:30,Alice,SOCIALIZE,3,5.7,100,BOB,False
58,15:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
59,16:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
59,16:00,Alice,SOCIALIZE,2,5.7,100,BOB,False
59,16:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
59,16:00,Bob,SOCIALIZE,4,7.9,100,DAVE,False
60,16:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
60,16:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
60,16:30,Mark,SOCIALIZE,3,6.5,100,BOB,False
60,16:30,Alice,SOCIALIZE,9,5.7,100,BOB,False
61,17:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
61,17:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
61,17:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
61,17:00,Alice,SOCIALIZE,5,5.7,100,BOB,False
62,17:30,Mark,SOCIALIZE,5,6.5,100,BOB,False
62,17:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
62,17:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
62,17:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
63,18:00,Mark,SOCIALIZE,2,6.5,100,BOB,False
63,18:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
63,18:00,Dave,SOCIALIZE,5,7.6,100,BOB,False
63,18:00,Alice,SOCIALIZE,7,5.7,100,BOB,False
64,08:00,Mark,DEEP_WORK,5,6.5,21,BOB,False
64,08:00,Dave,DEEP_WORK,2,7.6,25,BOB,False
64,08:00,Bob,DEEP_WORK,3,7.9,22,DAVE,False
64,08:00,Alice,DEEP_WORK,3,5.7,22,BOB,False
65,08:30,Dave,DEEP_WORK,4,7.6,41,BOB,False
65,08:30,Mark,DEEP_WORK,5,6.5,36,BOB,False
65,08:30,Bob,DEEP_WORK,3,7.9,43,DAVE,False
65,08:30,Alice,DEEP_WORK,9,5.7,42,BOB,False
66,09:00,Mark,DEEP_WORK,8,6.5,60,BOB,False
66,09:00,Bob,DEEP_WORK,9,7.9,67,DAVE,False
66,09:00,Dave,DEEP_WORK,3,7.6,58,BOB,False
66,09:00,Alice,DEEP_WORK,8,5.7,63,BOB,False
67,09:30,Bob,DEEP_WORK,7,7.9,92,DAVE,False
67,09:30,Mark,DEEP_WORK,8,6.5,81,BOB,False
67,09:30,Dave,DEEP_WORK,8,7.6,75,BOB,False
67,09:30,Alice,DEEP_WORK,5,5.7,78,NONE,True
68,10:00,Bob,DEEP_WORK,10,7.9,100,DAVE,False
68,10:00,Dave,DEEP_WORK,5,7.6,100,BOB,False
68,10:00,Alice,DEEP_WORK,8,5.7,98,BOB,False
68,10:00,Mark,DEEP_WORK,9,6.5,99,BOB,False
69,10:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
69,10:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
69,10:30,Mark,DEEP_WORK,9,6.5,100,BOB,False
69,10:30,Alice,DEEP_WORK,8,5.7,100,BOB,False
70,11:00,Dave,SOCIALIZE,8,7.6,100,BOB,False
70,11:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
70,11:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
70,11:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
71,11:30,Alice,SOCIALIZE,9,5.7,100,BOB,False
71,11:30,Mark,SOCIALIZE,6,6.5,100,BOB,False
71,11:30,Bob,SOCIALIZE,8,7.9,100,DAVE,False
71,11:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
72,12:00,Mark,SOCIALIZE,6,6.5,100,BOB,False
72,12:00,Alice,SOCIALIZE,9,5.7,100,BOB,False
72,12:00,Dave,SOCIALIZE,8,7.6,100,BOB,False
72,12:00,Bob,SOCIALIZE,7,7.9,100,DAVE,False
73,12:30,Alice,SOCIALIZE,4,5.7,100,BOB,False
73,12:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
73,12:30,Dave,SOCIALIZE,4,7.6,100,BOB,False
73,12:30,Bob,SOCIALIZE,9,7.9,100,DAVE,False
74,13:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
74,13:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
74,13:00,Mark,SOCIALIZE,8,6.5,100,BOB,False
74,13:00,Alice,DEEP_WORK,5,5.7,100,NONE,False
75,13:30,Mark,SOCIALIZE,10,6.5,100,BOB,False
75,13:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
75,13:30,Alice,SOCIALIZE,7,5.7,100,BOB,False
75,13:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
76,14:00,Mark,SOCIALIZE,4,6.5,100,BOB,False
76,14:00,Dave,SOCIALIZE,6,7.6,100,BOB,False
76,14:00,Alice,SOCIALIZE,4,5.7,100,BOB,False
76,14:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
77,14:30,Alice,SOCIALIZE,7,5.7,100,BOB,False
77,14:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
77,14:30,Mark,SOCIALIZE,8,6.5,100,BOB,False
77,14:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
78,15:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
78,15:00,Alice,SOCIALIZE,4,5.7,100,BOB,False
78,15:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
78,15:00,Bob,SOCIALIZE,6,7.9,100,DAVE,False
79,15:30,Mark,SOCIALIZE,5,6.5,100,BOB,False
79,15:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
79,15:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
79,15:30,Alice,DEEP_WORK,5,5.7,100,NONE,True
80,16:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
80,16:00,Mark,SOCIALIZE,7,6.5,100,BOB,False
80,16:00,Bob,SOCIALIZE,4,7.9,100,DAVE,False
80,16:00,Alice,SOCIALIZE,5,5.7,100,BOB,False
81,16:30,Dave,SOCIALIZE,7,7.6,100,BOB,False
81,16:30,Alice,SOCIALIZE,8,5.7,100,BOB,False
81,16:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
81,16:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
82,17:00,Mark,SOCIALIZE,9,6.5,100,BOB,False
82,17:00,Alice,SOCIALIZE,9,5.7,100,BOB,False
82,17:00,Bob,SOCIALIZE,2,7.9,100,DAVE,False
82,17:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
83,17:30,Mark,SOCIALIZE,5,6.5,100,BOB,False
83,17:30,Alice,SOCIALIZE,3,5.7,100,BOB,False
83,17:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
83,17:30,Bob,DEEP_WORK,1,7.9,100,NONE,False
84,18:00,Dave,SOCIALIZE,4,7.6,100,BOB,False
84,18:00,Mark,SOCIALIZE,4,6.5,100,BOB,False
84,18:00,Bob,SOCIALIZE,3,7.9,100,DAVE,False
84,18:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
85,08:00,Alice,DEEP_WORK,5,5.7,17,BOB,False
85,08:00,Mark,DEEP_WORK,3,6.5,15,BOB,False
85,08:00,Bob,DEEP_WORK,4,7.9,22,DAVE,False
85,08:00,Dave,DEEP_WORK,3,7.6,16,BOB,False
86,08:30,Bob,DEEP_WORK,8,7.9,47,DAVE,False
86,08:30,Dave,DEEP_WORK,8,7.6,41,BOB,False
86,08:30,Mark,DEEP_WORK,7,6.5,40,BOB,False
86,08:30,Alice,DEEP_WORK,5,5.7,33,NONE,True
87,09:00,Bob,DEEP_WORK,5,7.9,72,DAVE,False
87,09:00,Mark,DEEP_WORK,8,6.5,56,BOB,False
87,09:00,Dave,DEEP_WORK,8,7.6,63,BOB,False
87,09:00,Alice,DEEP_WORK,5,5.7,48,NONE,False
88,09:30,Bob,DEEP_WORK,1,7.9,96,DAVE,False
88,09:30,Dave,DEEP_WORK,8,7.6,83,BOB,False
88,09:30,Alice,DEEP_WORK,10,5.7,71,BOB,False
88,09:30,Mark,DEEP_WORK,5,6.5,73,BOB,False
89,10:00,Mark,DEEP_WORK,7,6.5,88,BOB,False
89,10:00,Alice,DEEP_WORK,7,5.7,86,BOB,False
89,10:00,Bob,DEEP_WORK,8,7.9,100,DAVE,False
89,10:00,Dave,DEEP_WORK,5,7.6,98,BOB,False
90,10:30,Dave,DEEP_WORK,4,7.6,100,BOB,False
90,10:30,Mark,DEEP_WORK,5,6.5,100,BOB,False
90,10:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
90,10:30,Alice,DEEP_WORK,5,5.7,100,NONE,True
91,11:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
91,11:00,Bob,SOCIALIZE,5,7.9,100,DAVE,False
91,11:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
91,11:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
92,11:30,Dave,SOCIALIZE,3,7.6,100,BOB,False
92,11:30,Mark,SOCIALIZE,5,6.5,100,BOB,False
92,11:30,Alice,SOCIALIZE,5,5.7,100,BOB,False
92,11:30,Bob,SOCIALIZE,2,7.9,100,DAVE,False
93,12:00,Alice,SOCIALIZE,4,5.7,100,BOB,False
93,12:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
93,12:00,Bob,DEEP_WORK,5,7.9,100,NONE,True
93,12:00,Mark,SOCIALIZE,6,6.5,100,BOB,False
94,12:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
94,12:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
94,12:30,Alice,SOCIALIZE,7,5.7,100,BOB,False
94,12:30,Bob,SOCIALIZE,4,7.9,100,DAVE,False
95,13:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
95,13:00,Bob,SOCIALIZE,8,7.9,100,DAVE,False
95,13:00,Mark,SOCIALIZE,8,6.5,100,BOB,False
95,13:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
96,13:30,Mark,SOCIALIZE,2,6.5,100,BOB,False
96,13:30,Alice,SOCIALIZE,5,5.7,100,BOB,False
96,13:30,Bob,SOCIALIZE,4,7.9,100,DAVE,False
96,13:30,Dave,SOCIALIZE,8,7.6,100,BOB,False
97,14:00,Mark,SOCIALIZE,3,6.5,100,BOB,False
97,14:00,Bob,SOCIALIZE,8,7.9,100,DAVE,False
97,14:00,Dave,SOCIALIZE,2,7.6,100,BOB,False
97,14:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
98,14:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
98,14:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
98,14:30,Mark,SOCIALIZE,2,6.5,100,BOB,False
98,14:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
99,15:00,Mark,SOCIALIZE,2,6.5,100,BOB,False
99,15:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
99,15:00,Bob,SOCIALIZE,10,7.9,100,DAVE,False
99,15:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
100,15:30,Dave,SOCIALIZE,5,7.6,100,BOB,False
100,15:30,Bob,SOCIALIZE,7,7.9,100,DAVE,False
100,15:30,Mark,SOCIALIZE,4,6.5,100,BOB,False
100,15:30,Alice,SOCIALIZE,4,5.7,100,BOB,False
101,16:00,Bob,SOCIALIZE,1,7.9,100,DAVE,False
101,16:00,Alice,SOCIALIZE,3,5.7,100,BOB,False
101,16:00,Dave,SOCIALIZE,1,7.6,100,BOB,False
101,16:00,Mark,DEEP_WORK,5,6.5,100,NONE,True
102,16:30,Dave,SOCIALIZE,2,7.6,100,BOB,False
102,16:30,Bob,SOCIALIZE,3,7.9,100,DAVE,False
102,16:30,Mark,SOCIALIZE,9,6.5,100,BOB,False
102,16:30,Alice,SOCIALIZE,2,5.7,100,BOB,False
103,17:00,Bob,SOCIALIZE,1,7.9,100,DAVE,False
103,17:00,Dave,SOCIALIZE,3,7.6,100,BOB,False
103,17:00,Mark,SOCIALIZE,5,6.5,100,BOB,False
103,17:00,Alice,SOCIALIZE,7,5.7,100,BOB,False
104,17:30,Alice,PANIC,9,5.7,100,BOB,False
104,17:30,Dave,DEEP_WORK,9,7.6,100,BOB,False
104,17:30,Mark,PANIC,10,6.5,100,NONE,False
105,18:00,Alice,DEEP_WORK,6,5.7,100,BOB,False
105,18:00,Mark,COLLABORATE,8,6.5,100,BOB,False
105,18:00,Dave,DEEP_WORK,7,7.6,100,BOB,False
106,08:00,Mark,DEEP_WORK,8,6.5,15,BOB,False
106,08:00,Alice,DEEP_WORK,3,5.7,20,BOB,False
